	stem	count	lyric_count	p_english	p_lyrics	cliche
0	a	10144200.0	974499.0	0.0307590307988	0.0208309712762	-0.389742752745
1	abandon	15323.0	1455.0	4.64620797036e-05	3.11022004198e-05	-0.401357919927
2	abil	51476.0	1.0	0.000156084449183	2.13760827627e-08	-8.89587981157
3	abl	103171.0	1741.0	0.000312832945579	3.72157600899e-05	-2.12893699797
4	abort	18925.0	1.0	5.73839886701e-05	2.13760827627e-08	-7.89524793126
5	about	1082956.0	66307.0	0.00328371650379	0.00141738391975	-0.840162998932
6	abov	67996.0	11888.0	0.000206176047218	0.000254118871883	0.209071755105
7	abroad	8788.0	1.0	2.66467895605e-05	2.13760827627e-08	-7.12815128646
8	absenc	13597.0	468.0	4.12285386498e-05	1.0004006733e-05	-1.41614501619
9	absolut	46362.0	1141.0	0.000140577885481	2.43901104323e-05	-1.75158394025
10	absorb	9762.0	1.0	2.96001319629e-05	2.13760827627e-08	-7.2332614294
11	abstract	7165.0	1.0	2.17255629496e-05	2.13760827627e-08	-6.92397219322
12	abus	32088.0	1827.0	9.72965616087e-05	3.90541032075e-05	-0.912815704026
13	academ	28216.0	1.0	8.55559642967e-05	2.13760827627e-08	-8.29465332487
14	acceler	4923.0	1.0	1.49274175019e-05	2.13760827627e-08	-6.54868223271
15	accent	6486.0	1.0	1.96667133693e-05	2.13760827627e-08	-6.82441013982
16	accept	67545.0	2392.0	0.000204808534463	5.11315899684e-05	-1.38767305929
17	access	47298.0	1.0	0.000143416005079	2.13760827627e-08	-8.81123214324
18	accid	20964.0	657.0	6.3566601769e-05	1.40440863751e-05	-1.50988679439
19	accommod	7571.0	1.0	2.29566276471e-05	2.13760827627e-08	-6.97908929106
20	accompani	13666.0	1.0	4.14377590048e-05	2.13760827627e-08	-7.56967512829
21	accomplish	20305.0	1.0	6.15683957699e-05	2.13760827627e-08	-7.96563129307
22	accord	83773.0	1.0	0.000254014736214	2.13760827627e-08	-9.3828748918
23	account	68917.0	1.0	0.000208968684131	2.13760827627e-08	-9.18766701392
24	accur	16998.0	1.0	5.15409796256e-05	2.13760827627e-08	-7.78785982201
25	accuraci	6942.0	1.0	2.10493870197e-05	2.13760827627e-08	-6.89235404938
26	accus	22765.0	686.0	6.90275562523e-05	1.46639927752e-05	-1.549110773
27	achiev	54164.0	834.0	0.00016423494649	1.78276530241e-05	-2.2205472107
28	acid	9772.0	728.0	2.96304537534e-05	1.55617882513e-05	-0.643984237135
29	acknowledg	21983.0	1.0	6.6656392229e-05	2.13760827627e-08	-8.04503355931
30	acquir	17435.0	1.0	5.28660418738e-05	2.13760827627e-08	-7.81324381206
31	acquisit	7338.0	1.0	2.22501299266e-05	2.13760827627e-08	-6.94783045787
32	across	115384.0	8293.0	0.000349864948412	0.000177271854351	-0.679862763766
33	act	79752.0	8335.0	0.000241822344223	0.000178169649827	-0.305467156472
34	action	80009.0	3447.0	0.000242601614241	7.36833572831e-05	-1.19164369377
35	activ	110719.0	1.0	0.000335719833108	2.13760827627e-08	-9.66175959197
36	activist	12737.0	1.0	3.862086466e-05	2.13760827627e-08	-7.49927527554
37	actor	24848.0	512.0	7.53435852298e-05	1.09445543745e-05	-1.9292167733
38	actress	9448.0	1.0	2.86480277387e-05	2.13760827627e-08	-7.20056721083
39	actual	126476.0	769.0	0.000383497878522	1.64382076445e-05	-3.14972572928
40	ad	26680.0	2068.0	8.08985372638e-05	4.42057391533e-05	-0.604341117355
41	adapt	10987.0	1.0	3.33145513087e-05	2.13760827627e-08	-7.35147688765
42	add	117842.0	1368.0	0.000357318044537	2.92424812194e-05	-2.50300377793
43	addit	54439.0	1.0	0.000165068795731	2.13760827627e-08	-8.9518449407
44	address	59338.0	1.0	0.000179923440935	2.13760827627e-08	-9.03801404215
45	adequ	9406.0	1.0	2.85206762183e-05	2.13760827627e-08	-7.19611191546
46	adjust	24873.0	1.0	7.54193897062e-05	2.13760827627e-08	-8.16854700974
47	administ	8135.0	1.0	2.46667766357e-05	2.13760827627e-08	-7.05093987261
48	administr	85024.0	1.0	0.000257807992216	2.13760827627e-08	-9.39769770151
49	admir	9016.0	580.0	2.73381263857e-05	1.23981280024e-05	-0.790736805133
50	admiss	10356.0	1.0	3.14012463232e-05	2.13760827627e-08	-7.29233019383
51	admit	35143.0	2210.0	0.00010655986863	4.72411429056e-05	-0.813441789334
52	adolesc	10568.0	1.0	3.20440682835e-05	2.13760827627e-08	-7.31259469916
53	adopt	30866.0	1.0	9.35912388e-05	2.13760827627e-08	-8.38441938641
54	adult	40705.0	1.0	0.00012342484855	2.13760827627e-08	-8.66111506696
55	advanc	38327.0	632.0	0.000116214326751	1.3509684306e-05	-2.15202934644
56	advantag	29340.0	1.0	8.89641335577e-05	2.13760827627e-08	-8.33371590465
57	adventur	11031.0	650.0	3.34479671873e-05	1.38944537958e-05	-0.878501260034
58	advertis	12601.0	1.0	3.82084883081e-05	2.13760827627e-08	-7.48854030782
59	advic	21970.0	1553.0	6.66169739012e-05	3.31970565305e-05	-0.696498195184
60	advis	24821.0	1.0	7.52617163952e-05	2.13760827627e-08	-8.16645420099
61	advoc	19763.0	1.0	5.99249547205e-05	2.13760827627e-08	-7.93857563459
62	aesthet	6647.0	1.0	2.01548941976e-05	2.13760827627e-08	-6.848929757
63	affair	27432.0	1666.0	8.31787359153e-05	3.56125538827e-05	-0.84829352437
64	affect	41496.0	1661.0	0.000125823302185	3.55056734689e-05	-1.26518605937
65	afford	19035.0	1240.0	5.77175283664e-05	2.65063426258e-05	-0.778176863172
66	afraid	27727.0	10118.0	8.40732287374e-05	0.000216283205393	0.944900495221
67	african	34557.0	1.0	0.000104783011703	2.13760827627e-08	-8.49737426655
68	african-american	9121.0	1.0	2.76565051868e-05	2.13760827627e-08	-7.16534357913
69	after	454191.0	17466.0	0.00137718843847	0.000373354661534	-1.30527053338
70	afternoon	33202.0	1778.0	0.000100674409079	3.80066751521e-05	-0.974129830934
71	afterward	6353.0	1.0	1.92634335546e-05	2.13760827627e-08	-6.80369127422
72	again	206895.0	70207.0	0.000627342686177	0.00150075064252	0.872227750011
73	against	204379.0	8043.0	0.000619713723667	0.000171927833661	-1.28218281836
74	age	110407.0	5087.0	0.000334773793241	0.000108740133014	-1.12449412474
75	agenc	56954.0	1.0	0.000172694726062	2.13760827627e-08	-8.99700805641
76	agenda	16449.0	1.0	4.98763133228e-05	2.13760827627e-08	-7.75502881703
77	agent	38265.0	1.0	0.000116026331649	2.13760827627e-08	-8.5992997722
78	aggress	19406.0	1.0	5.88424667969e-05	2.13760827627e-08	-7.92034642854
79	ago	125252.0	5029.0	0.000379786491355	0.000107500320214	-1.26211540367
80	agre	76753.0	1703.0	0.000232728839228	3.64034689449e-05	-1.85520992492
81	agreement	38141.0	1.0	0.000115650341446	2.13760827627e-08	-8.59605395096
82	agricultur	17156.0	1.0	5.20200639167e-05	2.13760827627e-08	-7.79711209859
83	ah	9788.0	20832.0	2.96789686184e-05	0.000445306556113	2.70832426749
84	ahead	51830.0	4969.0	0.000157157840569	0.000106217755248	-0.391759372535
85	aid	58037.0	683.0	0.000175978575981	1.45998645269e-05	-2.48935001055
86	aim	26167.0	2622.0	7.93430294071e-05	5.60480890039e-05	-0.347570542505
87	air	105932.0	14884.0	0.000321204791958	0.00031816161584	-0.00951942129257
88	aircraft	11591.0	1.0	3.51459874597e-05	2.13760827627e-08	-7.40499306684
89	airlin	17164.0	1.0	5.20443213492e-05	2.13760827627e-08	-7.79757829907
90	airplan	8254.0	1.0	2.50276059436e-05	2.13760827627e-08	-7.06546206327
